date,open,high,low,close,volume,amount,涨幅,振幅,区间
2013-01-04,17165.20,17426.10,16711.10,16993.40,22745772032.00,206965342208.00,2.28%,4.30%,多头区间
2013-01-07,17135.10,17521.60,16922.60,17337.80,20003717120.00,181632548864.00,2.03%,3.52%,多头区间
2013-01-08,17648.80,18027.30,17357.00,17762.10,22138726400.00,208991436800.00,2.45%,3.87%,多头区间
2013-01-09,17959.90,18328.40,17692.10,18030.10,22243878912.00,206730526720.00,1.51%,3.58%,多头区间
2013-01-10,18097.90,18483.40,17905.80,18206.70,20836337664.00,187547828224.00,0.98%,3.20%,多头区间
2013-01-11,18394.00,18633.00,17820.50,17991.00,22276444160.00,202621566976.00,-1.18%,4.46%,多头区间
2013-01-14,18402.00,19283.80,18272.10,19154.70,25408552960.00,242028085248.00,6.47%,5.62%,多头区间
2013-01-15,19820.00,20398.20,19616.40,20084.70,29461614592.00,278350331904.00,4.86%,4.08%,多头区间
2013-01-16,20455.20,20828.60,19956.60,20433.00,27097163776.00,254477303808.00,1.73%,4.34%,多头区间
2013-01-17,20300.30,20607.30,19858.70,20094.10,20725473280.00,196380999680.00,-1.66%,3.66%,多头区间
2013-01-18,20181.50,20669.50,19951.10,20434.50,21947576320.00,203113611264.00,1.69%,3.58%,多头区间
2013-01-21,20589.90,20983.50,20273.20,20688.80,23295965184.00,215936221184.00,1.24%,3.48%,多头区间
2013-01-22,20926.50,21246.40,20348.30,20665.70,25435865088.00,235275845632.00,-0.11%,4.34%,多头区间
2013-01-23,20411.00,20833.80,20066.50,20566.60,20249264128.00,184780865536.00,-0.48%,3.71%,多头区间
2013-01-24,20896.20,21370.80,20242.60,20530.60,26767605760.00,247379181568.00,-0.18%,5.49%,多头区间
2013-01-25,20075.20,20422.10,19742.50,20029.40,15902434304.00,151050567680.00,-2.44%,3.31%,空头区间
2013-01-28,20139.70,20840.60,20007.80,20692.50,21042618368.00,206699298816.00,3.31%,4.16%,空头区间
2013-01-29,20912.10,21416.60,20659.30,21110.70,23499825152.00,228934205440.00,2.02%,3.66%,多头区间
2013-01-30,21264.30,21675.50,20905.70,21325.90,24521517056.00,225974845440.00,1.02%,3.65%,多头区间
2013-01-31,21324.40,21667.20,20903.90,21257.80,22722719744.00,208943595520.00,-0.32%,3.58%,多头区间
2013-02-01,21300.20,21897.00,21049.70,21640.50,22990561280.00,221700784128.00,1.80%,3.99%,多头区间
