date,open,high,low,close,volume,amount
1993-01-03,3.10,3.30,3.10,3.30,14639100.00,317112800.00
1993-01-04,10.10,10.40,9.90,10.10,39052600.00,714883904.00
1993-01-05,16.10,16.80,16.00,16.50,43881900.00,727783680.00
1993-01-06,22.00,22.50,21.30,21.80,43533100.00,716964288.00
1993-01-07,25.30,25.90,25.00,25.80,34719600.00,580859840.00
1993-01-08,31.80,32.90,31.40,32.40,50104900.00,932122944.00
1993-01-11,41.20,44.20,40.80,43.60,75105296.00,1361538304.00
1993-01-12,51.10,52.60,49.10,50.10,69856096.00,1320057088.00
1993-01-13,52.50,54.70,51.70,54.20,46414600.00,871586560.00
1993-01-14,59.20,61.20,57.70,59.90,64409300.00,1198466432.00
1993-01-15,61.90,62.90,59.30,60.90,47344700.00,918612928.00
1993-01-18,63.00,65.00,61.90,63.60,40539200.00,864689856.00
1993-01-19,66.80,68.20,63.40,64.40,45752200.00,1017079488.00
1993-01-20,63.00,66.70,62.60,65.60,19483900.00,366491136.00
1993-01-21,65.70,67.50,65.10,66.60,24211600.00,448706272.00
1993-01-22,66.50,68.70,65.90,67.40,24898300.00,471406464.00
1993-01-27,69.40,72.50,68.80,71.30,36867600.00,726383872.00
1993-01-28,73.20,75.00,70.80,72.20,37784600.00,748144064.00
1993-01-29,72.90,76.30,72.30,75.30,37250500.00,709970304.00
1993-02-01,82.50,89.00,81.70,87.80,81037600.00,1809180672.00
1993-02-02,94.20,98.20,93.10,96.80,81500304.00,1870953984.00
1993-02-03,101.10,103.20,97.30,100.20,72611600.00,1668296448.00
1993-02-04,104.90,109.20,103.20,108.30,75045504.00,1757051392.00
1993-02-05,114.80,117.50,109.50,112.10,85902200.00,2116953600.00
1993-02-08,117.00,123.20,115.20,121.60,77539904.00,2034457856.00
1993-02-09,128.10,133.60,125.10,129.80,88361200.00,2303973632.00
1993-02-10,136.00,139.10,128.50,131.20,88806200.00,2309390080.00
1993-02-11,134.40,138.40,125.40,128.80,79262496.00,2014210048.00
1993-02-12,130.60,135.10,124.30,132.70,44768500.00,1130298752.00
1993-02-15,138.80,145.60,136.90,142.10,93010304.00,2331483904.00
1993-02-16,143.50,145.70,137.60,139.40,67947000.00,1852122496.00
1993-02-17,138.30,142.70,134.90,139.60,53378800.00,1538408960.00
1993-02-18,140.70,144.60,136.90,140.60,62362100.00,1773350272.00
1993-02-19,149.80,155.10,143.70,152.10,87126200.00,2708779008.00
