date,open,close,high,low,volume
2025-03-14,0.988,0.996,0.999,0.981,990046.72
2025-03-17,1.0,0.998,1.003,0.995,223992.03
2025-03-18,0.998,1.003,1.004,0.994,320400.74
2025-03-19,1.002,0.986,1.002,0.984,166806.26
2025-03-20,0.988,0.986,0.994,0.981,155291.61
2025-03-21,0.987,0.965,0.987,0.963,191024.85
2025-03-24,0.964,0.952,0.969,0.933,136108.89
2025-03-25,0.95,0.945,0.961,0.942,90905.68
2025-03-26,0.945,0.946,0.954,0.944,63881.11
2025-03-27,0.937,0.943,0.955,0.929,97589.61
2025-03-28,0.943,0.932,0.946,0.931,100031.11
2025-03-31,0.929,0.927,0.932,0.913,124821.08
2025-04-01,0.929,0.934,0.938,0.926,138048.42
2025-04-02,0.929,0.939,0.945,0.929,73004.03
2025-04-03,0.932,0.925,0.941,0.917,103072.16
2025-04-07,0.9,0.833,0.9,0.833,152906.34
2025-04-08,0.833,0.813,0.845,0.797,259980.89
2025-04-09,0.8,0.845,0.849,0.782,229137.5
2025-04-10,0.857,0.861,0.88,0.857,129733.11
2025-04-11,0.846,0.884,0.892,0.846,152808.12
2025-04-14,0.893,0.882,0.893,0.879,116801.01
2025-04-15,0.882,0.873,0.882,0.867,112528.07
2025-04-16,0.873,0.866,0.873,0.853,120528.25
2025-04-17,0.865,0.863,0.875,0.86,144736.07
2025-04-18,0.862,0.873,0.877,0.858,141086.16
2025-04-21,0.873,0.88,0.882,0.869,134221.1
2025-04-22,0.881,0.871,0.881,0.87,133473.0
2025-04-23,0.873,0.882,0.887,0.873,150295.15
2025-04-24,0.884,0.87,0.884,0.863,151526.07
2025-04-25,0.872,0.873,0.883,0.87,134861.0
2025-04-28,0.872,0.864,0.872,0.862,111894.24
2025-04-29,0.865,0.868,0.871,0.859,114859.0
2025-04-30,0.868,0.878,0.88,0.867,122829.15
2025-05-06,0.88,0.905,0.905,0.88,126119.19
2025-05-07,0.906,0.915,0.922,0.905,186335.24
2025-05-08,0.913,0.94,0.943,0.913,170738.8
2025-05-09,0.94,0.933,0.944,0.925,143698.07
2025-05-12,0.931,0.957,0.957,0.931,132255.08
2025-05-13,0.966,0.939,0.966,0.938,165239.04
2025-05-14,0.937,0.939,0.948,0.936,124567.11
2025-05-15,0.946,0.921,0.947,0.921,118538.01
2025-05-16,0.913,0.921,0.931,0.913,81753.0
2025-05-19,0.925,0.925,0.926,0.915,109900.38
2025-05-20,0.925,0.926,0.929,0.921,70475.0
2025-05-21,0.927,0.927,0.93,0.922,80812.02
2025-05-22,0.935,0.93,0.936,0.92,96547.07
2025-05-23,0.923,0.908,0.928,0.908,138560.26
2025-05-26,0.907,0.919,0.919,0.907,114832.0
