date,open,close,high,low,volume
2024-01-18,0.961,0.969,0.972,0.946,684382.24
2024-01-19,0.968,0.962,0.975,0.96,174822.22
2024-01-22,0.959,0.918,0.972,0.913,73425.88
2024-01-23,0.917,0.934,0.944,0.885,79100.92
2024-01-24,0.934,0.941,0.945,0.916,75714.77
2024-01-25,0.941,0.959,0.963,0.932,142344.99
2024-01-26,0.949,0.951,0.962,0.941,100271.09
2024-01-29,0.948,0.923,0.951,0.922,85716.52
2024-01-30,0.914,0.9,0.932,0.9,89793.19
2024-01-31,0.895,0.871,0.904,0.87,102397.2
2024-02-01,0.868,0.88,0.895,0.865,69038.17
2024-02-02,0.875,0.855,0.889,0.835,57575.44
2024-02-05,0.851,0.81,0.851,0.804,134017.63
2024-02-06,0.81,0.87,0.876,0.806,131814.25
2024-02-07,0.87,0.901,0.911,0.87,91400.26
2024-02-08,0.92,0.938,0.98,0.92,72739.54
2024-02-19,0.957,0.955,0.964,0.941,57577.89
2024-02-20,0.955,0.959,0.962,0.944,44230.75
2024-02-21,0.959,0.958,0.979,0.95,92170.63
2024-02-22,0.96,0.976,0.979,0.96,77978.56
2024-02-23,0.977,0.994,0.995,0.971,156381.59
2024-02-26,1.003,1.03,1.046,1.003,451775.3
2024-02-27,1.029,1.055,1.056,1.017,210701.25
2024-02-28,1.055,1.002,1.066,1.0,212096.56
2024-02-29,1.0,1.05,1.05,0.992,117727.49
2024-03-01,1.05,1.079,1.083,1.05,120472.31
2024-03-04,1.08,1.088,1.099,1.061,89821.97
2024-03-05,1.085,1.077,1.093,1.071,58271.26
2024-03-06,1.069,1.099,1.103,1.069,96218.33
2024-03-07,1.102,1.075,1.129,1.075,128794.76
2024-03-08,1.075,1.09,1.092,1.067,73702.02
2024-03-11,1.088,1.099,1.099,1.074,59577.27
2024-03-12,1.099,1.098,1.106,1.09,28414.13
2024-03-13,1.099,1.097,1.106,1.093,74560.3
2024-03-14,1.097,1.09,1.11,1.076,41824.2
2024-03-15,1.089,1.106,1.106,1.081,60651.21
2024-03-18,1.107,1.125,1.127,1.107,79680.21
2024-03-19,1.126,1.112,1.126,1.11,52331.05
2024-03-20,1.11,1.118,1.119,1.107,30461.25
2024-03-21,1.118,1.109,1.123,1.109,37523.35
2024-03-22,1.111,1.094,1.117,1.086,48652.15
2024-03-25,1.085,1.068,1.099,1.068,34686.07
2024-03-26,1.067,1.058,1.08,1.05,37382.11
2024-03-27,1.066,1.021,1.066,1.021,56729.47
2024-03-28,1.011,1.055,1.065,1.011,36335.0
2024-03-29,1.055,1.063,1.063,1.042,36938.0
2024-04-01,1.07,1.078,1.079,1.068,18072.0
2024-04-02,1.079,1.06,1.085,1.055,25181.87
2024-04-03,1.056,1.043,1.056,1.04,19424.0
2024-04-08,1.04,1.018,1.041,1.018,17912.9
2024-04-09,1.029,1.023,1.029,1.014,9325.01
2024-04-10,1.042,1.01,1.042,1.002,19511.04
2024-04-11,1.0,1.018,1.03,1.0,18219.0
2024-04-12,1.026,1.014,1.026,1.012,25651.0
2024-04-15,1.021,1.009,1.021,0.995,16945.0
2024-04-16,1.004,0.966,1.004,0.965,21589.0
2024-04-17,0.974,1.012,1.022,0.974,35172.11
2024-04-18,1.013,1.014,1.028,0.982,35071.0
2024-04-19,1.019,0.998,1.019,0.99,11897.3
2024-04-22,0.989,0.994,1.006,0.983,8998.0
2024-04-23,1.0,0.994,1.0,0.984,5699.01
2024-04-24,1.0,1.011,1.012,0.993,26350.19
2024-04-25,1.0,1.002,1.009,1.0,18921.21
2024-04-26,1.003,1.026,1.03,1.003,50487.0
2024-04-29,1.037,1.065,1.07,1.037,62409.0
2024-04-30,1.065,1.052,1.07,1.045,31696.0
2024-05-06,1.063,1.07,1.08,1.058,40132.0
2024-05-07,1.07,1.071,1.082,1.066,17600.0
2024-05-08,1.078,1.051,1.078,1.05,22480.0
2024-05-09,1.057,1.065,1.066,1.055,9143.0
2024-05-10,1.058,1.052,1.067,1.048,17819.0
2024-05-13,1.049,1.038,1.049,1.036,27833.77
2024-05-14,1.039,1.039,1.057,1.037,22933.0
2024-05-15,1.029,1.029,1.05,1.027,13238.06
2024-05-16,1.029,1.021,1.033,1.02,15411.02
2024-05-17,1.022,1.034,1.034,1.017,14395.02
2024-05-20,1.03,1.036,1.044,1.028,27622.03
2024-05-21,1.046,1.025,1.053,1.025,7116.01
2024-05-22,1.036,1.029,1.036,1.021,3266.0
2024-05-23,1.022,1.011,1.026,1.01,8646.0
2024-05-24,1.01,0.993,1.014,0.993,9168.0
2024-05-27,0.993,1.008,1.008,0.983,20669.0
2024-05-28,1.004,0.992,1.01,0.992,24280.05
2024-05-29,0.993,0.995,1.007,0.99,6811.0
2024-05-30,0.995,0.998,1.009,0.988,11162.0
2024-05-31,1.009,1.01,1.016,1.004,32134.0
2024-06-03,1.012,1.007,1.022,0.999,17571.0
