date,open,close,high,low,volume
2022-08-12,1.006,0.986,1.008,0.986,7491696.75
2022-08-15,0.983,0.987,0.99,0.981,2333838.72
2022-08-16,0.986,0.986,0.998,0.983,2507348.55
2022-08-17,0.986,0.977,0.986,0.969,1792716.47
2022-08-18,0.975,0.981,0.984,0.973,1820275.85
2022-08-19,0.98,0.966,0.994,0.963,2662719.6
2022-08-22,0.965,0.973,0.976,0.954,1808587.67
2022-08-23,0.972,0.964,0.973,0.96,1827682.76
2022-08-24,0.959,0.925,0.964,0.924,2409287.46
2022-08-25,0.925,0.923,0.934,0.913,2094549.93
2022-08-26,0.924,0.911,0.928,0.908,2185895.71
2022-08-29,0.9,0.93,0.931,0.897,2168830.31
2022-08-30,0.928,0.92,0.931,0.919,1725787.71
2022-08-31,0.921,0.903,0.927,0.898,1913852.47
2022-09-01,0.903,0.901,0.912,0.899,1850917.42
2022-09-02,0.903,0.916,0.921,0.899,1938495.94
2022-09-05,0.915,0.909,0.92,0.903,1919936.89
2022-09-06,0.909,0.933,0.937,0.909,2160509.36
2022-09-07,0.93,0.943,0.945,0.928,1990786.09
2022-09-08,0.94,0.954,0.961,0.94,2585162.9
2022-09-09,0.953,0.952,0.964,0.945,2039654.88
2022-09-13,0.952,0.965,0.965,0.952,1988082.73
2022-09-14,0.958,0.972,0.977,0.952,2269683.83
2022-09-15,0.972,0.952,0.974,0.937,1557120.19
2022-09-16,0.951,0.951,0.975,0.947,2210365.08
2022-09-19,0.95,0.937,0.959,0.929,1767079.63
2022-09-20,0.937,0.935,0.945,0.93,1375515.27
2022-09-21,0.926,0.926,0.931,0.912,2017846.53
2022-09-22,0.922,0.947,0.955,0.921,2085043.05
2022-09-23,0.947,0.941,0.972,0.937,2527806.24
2022-09-26,0.935,0.914,0.94,0.91,1846485.88
2022-09-27,0.91,0.925,0.929,0.91,2008158.73
2022-09-28,0.925,0.895,0.935,0.893,1995164.38
2022-09-29,0.904,0.896,0.914,0.89,3029829.14
2022-09-30,0.903,0.87,0.903,0.869,3198650.65
2022-10-10,0.871,0.853,0.876,0.851,1928320.98
2022-10-11,0.851,0.858,0.863,0.847,1858059.86
2022-10-12,0.86,0.877,0.878,0.838,1726933.22
2022-10-13,0.877,0.887,0.895,0.87,1731463.52
2022-10-14,0.889,0.906,0.909,0.885,1576097.94
2022-10-17,0.901,0.93,0.934,0.901,1150419.61
2022-10-18,0.928,0.929,0.933,0.917,1157964.13
2022-10-19,0.924,0.924,0.934,0.92,1279021.35
2022-10-20,0.918,0.928,0.938,0.91,1446575.6
2022-10-21,0.931,0.926,0.933,0.913,1236879.1
2022-10-24,0.923,0.956,0.972,0.923,1977745.99
2022-10-25,0.956,0.955,0.966,0.944,1170566.75
2022-10-26,0.955,0.97,0.977,0.941,1308918.38
2022-10-27,0.973,0.965,0.976,0.96,1267864.22
2022-10-28,0.966,0.95,0.974,0.944,1521937.11
2022-10-31,0.949,0.975,0.98,0.928,1100013.29
2022-11-01,0.98,0.966,0.98,0.954,1033645.55
2022-11-02,0.967,0.961,0.97,0.954,1082723.3
2022-11-03,0.957,0.967,0.972,0.952,1145802.41
2022-11-04,0.965,0.97,0.971,0.961,1006106.96
2022-11-07,0.972,0.95,0.975,0.943,1125083.6
2022-11-08,0.949,0.953,0.956,0.942,729776.2
2022-11-09,0.96,0.945,0.962,0.945,896431.04
2022-11-10,0.943,0.927,0.945,0.924,950634.55
2022-11-11,0.946,0.932,0.946,0.922,1217302.76
2022-11-14,0.926,0.922,0.934,0.916,899290.8
2022-11-15,0.922,0.936,0.938,0.915,1033394.94
2022-11-16,0.938,0.939,0.953,0.933,943653.3
2022-11-17,0.934,0.941,0.944,0.916,1062439.75
2022-11-18,0.936,0.93,0.945,0.929,939882.97
2022-11-21,0.93,0.939,0.942,0.923,851404.67
2022-11-22,0.936,0.936,0.951,0.93,1172438.6
2022-11-23,0.933,0.935,0.938,0.921,838394.3
2022-11-24,0.937,0.924,0.937,0.921,819501.32
2022-11-25,0.931,0.91,0.931,0.908,875836.93
2022-11-28,0.908,0.91,0.91,0.894,1023522.87
2022-11-29,0.913,0.909,0.918,0.904,879624.91
2022-11-30,0.912,0.909,0.915,0.903,972569.95
2022-12-01,0.915,0.92,0.923,0.911,896362.95
2022-12-02,0.92,0.913,0.925,0.91,764899.1
2022-12-05,0.915,0.911,0.916,0.908,882824.57
2022-12-06,0.911,0.916,0.916,0.902,888419.0
2022-12-07,0.916,0.912,0.917,0.908,834693.62
2022-12-08,0.915,0.898,0.915,0.896,747581.38
2022-12-09,0.894,0.894,0.902,0.886,709806.51
