date,open,close,high,low,volume
2013-01-04,0.72,0.708,0.721,0.7,195374.89
2013-01-07,0.703,0.721,0.721,0.702,413338.44
2013-01-08,0.72,0.737,0.74,0.717,802998.97
2013-01-09,0.734,0.735,0.742,0.728,464822.86
2013-01-10,0.734,0.743,0.746,0.731,373498.07
2013-01-11,0.744,0.731,0.747,0.73,401086.12
2013-01-14,0.73,0.762,0.764,0.73,581617.63
2013-01-15,0.766,0.78,0.784,0.765,665245.34
2013-01-16,0.78,0.774,0.78,0.761,335897.32
2013-01-17,0.774,0.768,0.777,0.767,402748.18
2013-01-18,0.772,0.79,0.79,0.772,888758.28
2013-01-21,0.79,0.794,0.795,0.783,322880.52
2013-01-22,0.792,0.774,0.793,0.769,636260.43
2013-01-23,0.774,0.781,0.783,0.764,365371.89
2013-01-24,0.78,0.759,0.788,0.752,643381.31
2013-01-25,0.755,0.763,0.768,0.755,318683.15
2013-01-28,0.764,0.786,0.786,0.764,431379.68
2013-01-29,0.788,0.792,0.797,0.786,427087.15
2013-01-30,0.793,0.784,0.793,0.777,376243.97
2013-01-31,0.784,0.78,0.786,0.771,237841.24
2013-02-01,0.778,0.783,0.787,0.774,431919.47
2013-02-04,0.784,0.771,0.788,0.766,378951.09
2013-02-05,0.767,0.784,0.785,0.766,436814.44
2013-02-06,0.782,0.791,0.796,0.78,816403.92
2013-02-07,0.79,0.806,0.807,0.788,809221.6
2013-02-08,0.806,0.822,0.825,0.805,1117257.9
2013-02-18,0.827,0.832,0.834,0.823,822440.59
2013-02-19,0.833,0.818,0.833,0.814,725873.37
2013-02-20,0.816,0.851,0.851,0.815,1055827.63
2013-02-21,0.845,0.838,0.853,0.827,821686.68
2013-02-22,0.837,0.835,0.848,0.833,453807.71
2013-02-25,0.833,0.854,0.857,0.833,687822.58
2013-02-26,0.851,0.85,0.864,0.844,852343.16
2013-02-27,0.85,0.842,0.855,0.833,531160.91
2013-02-28,0.843,0.86,0.861,0.84,479318.7
2013-03-01,0.86,0.885,0.885,0.858,800173.49
2013-03-04,0.878,0.863,0.886,0.849,947831.62
2013-03-05,0.863,0.887,0.887,0.854,728769.72
2013-03-06,0.888,0.902,0.904,0.886,638779.17
2013-03-07,0.899,0.88,0.9,0.865,695404.42
2013-03-08,0.878,0.863,0.883,0.858,538787.0
2013-03-11,0.859,0.867,0.871,0.854,208084.63
2013-03-12,0.867,0.836,0.871,0.825,806408.78
2013-03-13,0.832,0.832,0.836,0.817,377387.43
2013-03-14,0.829,0.84,0.845,0.825,447904.76
2013-03-15,0.837,0.853,0.868,0.834,646482.49
2013-03-18,0.848,0.85,0.861,0.845,660709.83
2013-03-19,0.847,0.841,0.853,0.826,260533.85
2013-03-20,0.841,0.864,0.865,0.838,809713.38
2013-03-21,0.865,0.88,0.886,0.865,690381.05
2013-03-22,0.878,0.878,0.883,0.872,325169.63
2013-03-25,0.882,0.88,0.884,0.87,331232.23
2013-03-26,0.875,0.872,0.879,0.856,504714.55
2013-03-27,0.872,0.882,0.884,0.87,305655.01
2013-03-28,0.87,0.864,0.877,0.855,416560.96
2013-03-29,0.865,0.86,0.87,0.857,339706.08
2013-04-01,0.861,0.875,0.88,0.85,192523.21
2013-04-02,0.877,0.847,0.884,0.839,390503.78
2013-04-03,0.84,0.829,0.848,0.825,218596.08
2013-04-08,0.821,0.854,0.854,0.815,351710.44
2013-04-09,0.853,0.86,0.864,0.848,197859.33
2013-04-10,0.857,0.849,0.86,0.839,224291.88
2013-04-11,0.85,0.849,0.856,0.845,114173.11
2013-04-12,0.835,0.844,0.851,0.835,81204.09
2013-04-15,0.844,0.834,0.844,0.83,291757.72
2013-04-16,0.827,0.842,0.843,0.821,142935.58
2013-04-17,0.842,0.866,0.867,0.838,268304.27
2013-04-18,0.861,0.871,0.876,0.857,225912.31
2013-04-19,0.872,0.891,0.897,0.871,607320.16
2013-04-22,0.891,0.915,0.915,0.888,545646.64
2013-04-23,0.919,0.892,0.919,0.887,389975.6
2013-04-24,0.892,0.926,0.926,0.89,604079.78
2013-04-25,0.923,0.898,0.937,0.898,711626.3
2013-04-26,0.892,0.89,0.902,0.882,496714.96
2013-05-02,0.887,0.914,0.914,0.878,346461.48
2013-05-03,0.916,0.938,0.939,0.914,553729.98
2013-05-06,0.94,0.953,0.962,0.938,481960.96
2013-05-07,0.951,0.95,0.963,0.944,393098.62
2013-05-08,0.956,0.982,0.982,0.955,434831.07
2013-05-09,0.979,0.99,0.993,0.972,518132.6
2013-05-10,0.986,0.987,0.993,0.97,506116.36
2013-05-13,0.985,0.991,0.992,0.974,1113490.91
2013-05-14,0.99,0.971,0.99,0.964,367970.76
2013-05-15,0.971,1.01,1.01,0.971,969603.67
2013-05-16,1.011,1.007,1.034,0.992,1480437.06
2013-05-17,1.005,1.017,1.027,0.998,579936.39
2013-05-20,1.017,1.048,1.05,1.016,651891.11
2013-05-21,1.047,1.073,1.074,1.04,664532.05
2013-05-22,1.072,1.039,1.072,1.031,968955.8
2013-05-23,1.026,1.043,1.059,1.026,1073340.65
2013-05-24,1.043,1.07,1.072,1.043,560495.5
2013-05-27,1.066,1.085,1.089,1.066,725469.85
2013-05-28,1.084,1.054,1.084,1.046,662145.16
2013-05-29,1.053,1.064,1.064,1.047,662321.91
2013-05-30,1.059,1.068,1.075,1.053,559015.95
2013-05-31,1.066,1.067,1.084,1.063,536093.01
2013-06-03,1.06,1.046,1.07,1.045,500840.57
2013-06-04,1.046,1.02,1.046,1.007,453726.43
2013-06-05,1.019,1.035,1.037,1.019,597635.06
2013-06-06,1.025,1.018,1.03,1.018,240874.67
2013-06-07,1.02,1.032,1.038,1.014,562564.98
2013-06-13,1.018,1.024,1.028,0.981,535753.47
2013-06-14,1.027,1.069,1.07,1.013,812225.53
2013-06-17,1.073,1.067,1.09,1.064,1009666.85
2013-06-18,1.067,1.068,1.076,1.047,627661.25
2013-06-19,1.06,1.064,1.069,1.049,885713.09
2013-06-20,1.055,1.023,1.067,1.023,726366.91
2013-06-21,1.0,1.027,1.032,0.985,695204.66
2013-06-24,1.016,0.963,1.018,0.954,870462.3
2013-06-25,0.946,0.986,0.994,0.902,1260762.77
2013-06-26,0.982,1.045,1.045,0.978,1680995.41
2013-06-27,1.045,1.02,1.064,1.016,1434098.35
2013-06-28,1.003,1.003,1.044,0.996,763320.02
2013-07-01,1.002,1.06,1.06,1.0,1881463.65
2013-07-02,1.059,1.083,1.084,1.055,3253971.37
2013-07-03,1.072,1.1,1.107,1.06,3206378.3
2013-07-04,1.093,1.087,1.103,1.082,2177873.17
2013-07-05,1.086,1.052,1.089,1.052,1104696.8
2013-07-08,1.024,1.027,1.055,1.011,2173860.27
2013-07-09,1.026,1.048,1.052,1.02,2159887.6
2013-07-10,1.046,1.069,1.069,1.044,1551141.14
2013-07-11,1.068,1.082,1.082,1.05,680921.15
2013-07-12,1.081,1.092,1.119,1.075,1808008.9
2013-07-15,1.088,1.138,1.14,1.088,2244858.29
2013-07-16,1.14,1.137,1.15,1.126,2725218.07
2013-07-17,1.135,1.126,1.147,1.115,1653198.69
2013-07-18,1.119,1.124,1.136,1.111,2143762.17
2013-07-19,1.124,1.106,1.153,1.106,2846602.99
2013-07-22,1.099,1.154,1.154,1.099,2570605.2
2013-07-23,1.156,1.173,1.18,1.156,2173727.88
2013-07-24,1.174,1.2,1.203,1.17,3732268.75
2013-07-25,1.198,1.147,1.2,1.14,2356047.69
2013-07-26,1.14,1.152,1.156,1.122,2626616.4
2013-07-29,1.143,1.124,1.158,1.123,2810274.09
2013-07-30,1.124,1.11,1.135,1.084,2314290.45
2013-07-31,1.111,1.122,1.13,1.103,2291752.06
2013-08-01,1.123,1.177,1.182,1.121,3684741.82
2013-08-02,1.182,1.169,1.193,1.168,3028624.76
2013-08-05,1.167,1.193,1.193,1.166,2086144.12
2013-08-06,1.186,1.196,1.206,1.184,1958856.73
2013-08-07,1.196,1.162,1.196,1.158,1974473.74
2013-08-08,1.155,1.171,1.184,1.151,2163542.62
2013-08-09,1.171,1.161,1.181,1.137,1815301.92
2013-08-12,1.159,1.152,1.172,1.132,1294421.53
2013-08-13,1.153,1.163,1.169,1.138,1780801.85
2013-08-14,1.16,1.172,1.172,1.145,2324774.16
2013-08-15,1.165,1.151,1.172,1.151,2405838.83
2013-08-16,1.142,1.117,1.163,1.117,1635158.6
2013-08-19,1.112,1.164,1.164,1.11,2250595.49
2013-08-20,1.16,1.16,1.168,1.15,1642534.01
2013-08-21,1.159,1.164,1.172,1.155,1712150.84
2013-08-22,1.163,1.181,1.191,1.163,1415174.11
2013-08-23,1.186,1.198,1.211,1.173,2624517.83
2013-08-26,1.202,1.22,1.226,1.2,1532379.07
2013-08-27,1.218,1.229,1.233,1.207,1594952.45
2013-08-28,1.225,1.209,1.234,1.207,1342590.34
2013-08-29,1.207,1.207,1.219,1.2,1237749.19
2013-08-30,1.201,1.171,1.207,1.162,1515885.71
2013-09-02,1.17,1.197,1.197,1.164,1291636.6
2013-09-03,1.196,1.214,1.217,1.195,982707.92
2013-09-04,1.214,1.215,1.228,1.208,1004940.55
2013-09-05,1.215,1.248,1.25,1.211,1095000.97
2013-09-06,1.248,1.262,1.269,1.235,1160555.54
2013-09-09,1.262,1.255,1.265,1.236,853885.28
2013-09-10,1.253,1.244,1.259,1.233,614481.24
2013-09-11,1.242,1.202,1.242,1.197,1129188.59
2013-09-12,1.201,1.207,1.219,1.189,1740595.49
