date,open,close,high,low,volume
2013-01-04,2551.814,2524.409,2558.529,2498.892,97988182.0
2013-01-07,2518.047,2535.985,2545.969,2511.603,75167993.0
2013-01-08,2534.647,2525.33,2540.513,2502.49,71837100.0
2013-01-09,2518.104,2526.126,2534.239,2504.299,70231170.0
2013-01-10,2525.59,2530.569,2553.352,2513.729,71085862.0
2013-01-11,2533.495,2483.23,2539.794,2473.696,74239176.0
2013-01-14,2474.176,2577.725,2583.625,2473.998,93554091.0
2013-01-15,2579.132,2595.856,2605.41,2576.919,98620805.0
2013-01-16,2591.365,2577.092,2600.093,2540.521,93536084.0
2013-01-17,2570.711,2552.758,2575.058,2539.674,69915239.0
2013-01-18,2568.692,2595.439,2607.446,2553.451,77940303.0
2013-01-21,2605.649,2610.898,2611.201,2582.652,84133742.0
2013-01-22,2610.392,2596.898,2620.025,2578.181,105766275.0
2013-01-23,2588.198,2607.456,2611.409,2576.362,75739444.0
2013-01-24,2606.427,2582.755,2663.404,2564.206,111277172.0
2013-01-25,2580.881,2571.674,2591.513,2567.107,58487359.0
2013-01-28,2577.267,2651.863,2651.967,2577.267,91274790.0
2013-01-29,2655.377,2675.866,2685.531,2646.154,101040229.0
2013-01-30,2678.433,2688.711,2689.683,2662.062,99874990.0
2013-01-31,2690.951,2686.882,2696.881,2671.33,96740101.0
2013-02-01,2677.187,2743.324,2744.322,2671.274,103879515.0
2013-02-04,2753.688,2748.028,2768.504,2731.08,127939179.0
2013-02-05,2727.93,2771.675,2779.953,2725.362,116130819.0
2013-02-06,2771.908,2775.844,2787.456,2765.743,82779271.0
2013-02-07,2771.53,2759.87,2775.974,2722.874,89978142.0
2013-02-08,2755.649,2771.725,2791.303,2747.946,77429644.0
2013-02-18,2784.065,2737.471,2787.74,2731.506,76438227.0
2013-02-19,2735.045,2685.606,2740.739,2674.339,80626431.0
2013-02-20,2686.093,2702.635,2703.098,2665.231,70019377.0
2013-02-21,2675.741,2610.549,2675.741,2584.758,100657984.0
2013-02-22,2607.65,2596.604,2618.483,2591.146,60204852.0
2013-02-25,2607.149,2604.96,2628.696,2590.787,53161942.0
2013-02-26,2587.375,2567.595,2631.094,2564.672,80003065.0
2013-02-27,2576.046,2594.677,2615.249,2569.38,63226743.0
2013-02-28,2611.94,2673.327,2673.711,2593.997,86922595.0
2013-03-01,2671.842,2668.836,2680.854,2626.995,73343753.0
2013-03-04,2619.42,2545.715,2619.574,2528.694,110619103.0
2013-03-05,2547.893,2622.807,2623.171,2541.766,89661152.0
2013-03-06,2634.87,2650.202,2658.139,2620.431,95829652.0
2013-03-07,2639.783,2619.479,2658.969,2592.867,94082666.0
2013-03-08,2622.684,2606.927,2632.624,2601.961,59429557.0
2013-03-11,2600.278,2592.372,2611.652,2574.172,50946436.0
2013-03-12,2590.391,2555.615,2619.512,2530.251,71935141.0
2013-03-13,2551.726,2527.486,2556.773,2515.058,56430460.0
2013-03-14,2517.745,2534.273,2546.699,2514.463,47605756.0
2013-03-15,2533.722,2539.873,2600.091,2504.458,81372185.0
2013-03-18,2526.077,2502.493,2544.619,2499.828,59812778.0
2013-03-19,2507.396,2525.097,2532.07,2491.854,54536476.0
2013-03-20,2526.968,2610.174,2610.174,2526.83,90700622.0
2013-03-21,2611.58,2614.988,2626.538,2598.509,69552756.0
2013-03-22,2612.256,2618.308,2625.531,2603.344,55647141.0
2013-03-25,2628.407,2613.097,2641.609,2607.613,56261402.0
2013-03-26,2601.964,2575.05,2607.357,2554.974,63962961.0
2013-03-27,2575.726,2583.53,2611.939,2566.345,56906517.0
2013-03-28,2535.988,2499.302,2535.988,2495.083,87578405.0
2013-03-29,2502.782,2495.083,2509.109,2482.488,52402137.0
