date,industry_name,pct_change,close,net_inflow,net_amount_rate,super_large_inflow,large_inflow,rank,etf_code,etf_name
20251118,互联网服务,1.74,32122.57,41.8555776,5.2,38.72637952,3.12919808,1.0,515230,软件ETF
20251118,软件开发,0.5,1303.65,20.84143616,2.61,10.52521216,10.316224,2.0,515230,软件ETF
20251118,文化传媒,1.44,11245.34,17.65366016,3.53,19.86449664,-2.21083648,3.0,512980,传媒ETF
20251118,通信设备,-0.59,17956.83,9.11754752,1.22,13.22690048,-4.10935296,4.0,515880,通信ETF
20251118,装修装饰,0.38,817.57,0.2953256,0.54,0.39185888,-0.09653328,8.0,510300,沪深300ETF
20251118,游戏,0.7,1571.7,-0.4896488,-0.35,-1.47265664,0.98300784,9.0,159869,游戏ETF
20251118,机器人,-0.51,9395.78,-0.79716085,-3.05,-0.39714874,-0.40001211,,562500,机器人ETF
20251118,储能,-3.67,613.87,-1.01032004,-8.0,-1.03455928,0.02423924,,516160,新能源ETF
20251118,公用事业,-1.63,9277.24,-2.20538451,-7.37,-1.36273907,-0.84264544,19.0,561380,电网设备ETF
20251118,酿酒行业,-0.74,52140.08,-3.08727952,-2.22,-1.1319392,-1.95534032,22.0,512690,白酒ETF
20251118,水泥建材,-1.9,31178.94,-3.49238336,-5.17,-1.583376,-1.90900736,25.0,510300,沪深300ETF
20251118,燃气,-1.35,1971.14,-4.77456592,-4.68,-0.88166752,-3.8928984,32.0,561380,电网设备ETF
20251118,证券,0.16,158830.46,-6.85643632,-2.78,-4.46849136,-2.38794496,37.0,512880,证券ETF
20251118,风电设备,-1.64,1445.68,-7.48611776,-8.06,-4.10522496,-3.3808928,40.0,516160,新能源ETF
20251118,医药商业,-1.57,1240.2,-7.5955936,-10.3,-2.9434256,-4.652168,42.0,159929,医药ETF
20251118,商业百货,-1.31,19502.15,-8.25438416,-4.83,-2.3382184,-5.91616576,44.0,510150,消费ETF
20251118,半导体,0.37,1895.22,-8.38438912,-0.61,2.79282432,-11.17721344,45.0,512480,半导体ETF
20251118,家电行业,-0.99,25466.2,-9.15531712,-3.83,-6.6262624,-2.52905472,48.0,510150,消费ETF
20251118,石油行业,-1.52,6800.45,-9.44910736,-10.84,-6.82796896,-2.6211384,49.0,510300,沪深300ETF
20251118,银行,-0.59,4214.68,-9.66726288,-4.14,-8.67437456,-0.99288832,,512800,银行ETF
20251118,银行,-0.59,4214.68,-9.66726288,-4.14,-8.67437456,-0.99288832,50.0,512800,银行ETF
20251118,船舶制造,-2.41,1116.04,-9.92967504,-12.88,-4.7564112,-5.17326384,1.0,512660,军工ETF
20251118,贵金属,-2.84,1804.86,-10.33230272,-16.51,-5.85318256,-4.47912016,2.0,512400,有色ETF
20251118,食品饮料,-1.31,30758.27,-10.43900752,-4.96,-7.13513552,-3.303872,3.0,510150,消费ETF
20251118,农牧饲渔,-0.8,16578.89,-10.81966656,-6.22,-6.32108912,-4.49857744,5.0,510150,消费ETF
20251118,旅游酒店,-1.22,17405.09,-11.49400992,-8.97,-6.66427792,-4.829732,8.0,510150,消费ETF
20251118,医疗服务,-0.23,1313.47,-11.63198432,-8.26,-7.29438544,-4.33759888,10.0,510660,创新药ETF
20251118,航天航空,-2.23,53065.83,-13.83919792,-9.65,-6.52209008,-7.31710784,13.0,512660,军工ETF
20251118,工程建设,-1.31,27996.25,-13.90919536,-7.69,-8.88863216,-5.0205632,14.0,510300,沪深300ETF
20251118,医疗器械,-0.83,1030.59,-13.94718752,-8.67,-8.15014304,-5.79704448,15.0,159929,医药ETF
20251118,生物制品,-1.05,1127.32,-14.01251584,-9.89,-6.01690176,-7.99561408,16.0,510660,创新药ETF
20251118,汽车整车,-1.37,1869.87,-15.78375408,-7.96,-6.12911856,-9.65463552,17.0,515030,新能源车ETF
20251118,中药,-1.54,1536.62,-17.31590944,-10.94,-10.83620688,-6.47970256,20.0,159929,医药ETF
20251118,煤炭行业,-4.47,13098.78,-20.80942032,-11.96,-12.99432848,-7.81509184,22.0,515220,煤炭ETF
20251118,小金属,-1.44,2971.86,-21.1710144,-8.84,-13.76247168,-7.40854272,23.0,512400,有色ETF
20251118,电力行业,-1.84,18457.09,-22.70385424,-9.36,-14.29164048,-8.41221376,24.0,561380,电网设备ETF
20251118,房地产,-2.11,2268.52,-25.81465791,-6.65,-14.9745036,-10.84015431,,510300,沪深300ETF
20251118,化学制药,-1.17,39904.73,-26.6191976,-7.01,-12.76717328,-13.85202432,27.0,159929,医药ETF
20251118,汽车零部件,-1.29,49785.65,-36.38236448,-7.59,-20.988424,-15.39394048,30.0,515030,新能源车ETF
20251118,锂电池,-2.93,18769.2,-39.61169703,-9.0,-27.52813531,-12.08356172,,516160,新能源ETF
20251118,电网设备,-2.2,35346.68,-42.02501728,-8.07,-23.74237792,-18.28263936,31.0,561380,电网设备ETF
20251118,能源金属,-2.84,876.85,-47.6715136,-8.98,-39.3565184,-8.3149952,32.0,512400,有色ETF
20251118,有色金属,-2.74,24223.77,-57.20799744,-11.41,-41.01918976,-16.18880768,33.0,512400,有色ETF
20251118,光伏设备,-2.22,1384.8,-69.49795072,-11.78,-43.86701824,-25.63093248,35.0,516290,光伏ETF
20251118,电池,-4.3,1577.7,-106.25438464,-11.36,-69.6558848,-36.59849984,36.0,516160,新能源ETF
