date,industry_name,pct_change,close,net_inflow,net_amount_rate,super_large_inflow,large_inflow,rank,etf_code,etf_name
20250116,通信设备,1.24,12506.48,17.29664256,2.5,13.5552384,3.74140416,1,515880,通信ETF
20250116,家电行业,2.33,19829.49,6.70613056,2.01,7.5432864,-0.83715584,2,510150,消费ETF
20250116,有色金属,2.23,15743.69,4.85826096,1.94,4.78149168,0.07676928,3,512400,有色ETF
20250116,银行,1.39,3711.56,4.5606528,2.05,5.38951936,-0.82886656,4,512800,银行ETF
20250116,商业百货,2.61,16941.79,2.746608,1.19,3.61074112,-0.86413312,8,510150,消费ETF
20250116,船舶制造,0.84,775.29,2.18718992,6.43,1.56781968,0.61937024,9,512660,军工ETF
20250116,贵金属,1.1,1087.08,1.1622344,1.86,1.16070608,0.00152832,12,512400,有色ETF
20250116,电力行业,0.6,14980.23,0.93973168,0.74,-1.01806976,1.95780144,13,561380,电网设备ETF
20250116,装修装饰,0.77,479.51,0.22023716,0.77,0.7121762,-0.49193904,19,510300,沪深300ETF
20250116,石油行业,1.27,5244.67,0.09715568,0.16,-0.73989936,0.83705504,21,510300,沪深300ETF
20250116,煤炭行业,1.76,10431.71,-0.0548288,-0.07,0.09403312,-0.14886192,23,515220,煤炭ETF
20250116,公用事业,0.95,7805.78,-0.12417215,-0.81,0.16108929,-0.28526144,25,561380,电网设备ETF
20250116,电网设备,0.67,23856.59,-0.3223616,-0.18,-0.9633368,0.6409752,26,561380,电网设备ETF
20250116,风电设备,0.29,985.51,-0.33075952,-0.68,-0.42648704,0.09572752,27,516160,新能源ETF
20250116,医药商业,0.26,943.78,-0.40989863,-1.65,-0.23145127,-0.17844736,29,159929,医药ETF
20250116,医疗服务,-0.08,898.02,-0.44804176,-0.74,0.42802944,-0.8760712,31,510660,创新药ETF
20250116,农牧饲渔,0.73,12581.94,-0.54365968,-0.5,-0.72823808,0.1845784,34,510150,消费ETF
20250116,生物制品,0.34,768.09,-0.88962736,-1.4,-0.56201392,-0.32761344,39,510660,创新药ETF
20250116,燃气,0.13,1443.25,-0.9200051,-3.91,-0.52502926,-0.39497584,40,561380,电网设备ETF
20250116,化学制药,0.32,26569.25,-1.01712336,-0.53,-1.43674304,0.41961968,41,159929,医药ETF
20250116,能源金属,0.47,457.67,-1.16240624,-2.55,-1.32219104,0.1597848,44,512400,有色ETF
20250116,水泥建材,1.23,22593.77,-1.24755531,-5.35,-0.06540299,-1.18215232,45,510300,沪深300ETF
20250116,汽车整车,0.91,1569.75,-1.35167504,-0.82,-0.76766272,-0.58401232,47,515030,新能源车ETF
20250116,中药,0.43,1331.75,-1.48734912,-2.05,-0.8089096,-0.67843952,50,159929,医药ETF
20250116,医疗器械,0.13,752.55,-1.8559904,-2.13,-0.3357864,-1.520204,54,159929,医药ETF
20250116,软件开发,0.69,964.51,-1.89075712,-0.25,6.10685184,-7.99760896,55,515230,软件ETF
20250116,光伏设备,0.81,1070.23,-2.0824672,-1.0,-1.42438592,-0.65808128,58,516290,光伏ETF
20250116,工程建设,0.56,20756.75,-2.25489264,-2.68,0.12126176,-2.3761544,60,510300,沪深300ETF
20250116,旅游酒店,0.77,14413.25,-2.597488,-4.09,-0.00943536,-2.58805264,64,510150,消费ETF
20250116,航天航空,-0.31,40641.12,-3.36591488,-4.05,-2.56157552,-0.80433936,70,512660,军工ETF
20250116,酿酒行业,0.1,48729.98,-5.21117248,-4.05,-1.01523264,-4.19593984,73,512690,白酒ETF
20250116,食品饮料,0.86,25010.54,-5.47447632,-2.83,-3.08458112,-2.3898952,74,510150,消费ETF
20250116,小金属,0.06,1873.76,-6.0561616,-3.7,-3.46176288,-2.59439872,75,512400,有色ETF
20250116,游戏,-0.05,1058.24,-6.114796,-5.51,-2.1707384,-3.9440576,76,159869,游戏ETF
20250116,证券,-0.04,136038.58,-6.3628616,-3.2,-2.66939856,-3.69346304,77,512880,证券ETF
20250116,电池,0.32,875.02,-6.55330208,-3.47,-2.21469344,-4.33860864,78,516160,新能源ETF
20250116,汽车零部件,0.17,33475.54,-10.34060288,-2.16,-2.36955648,-7.9710464,81,515030,新能源车ETF
20250116,文化传媒,0.67,9478.45,-21.12463104,-4.87,-9.38063104,-11.744,84,512980,传媒ETF
20250116,互联网服务,1.1,22374.15,-30.818432,-3.9,-13.90538752,-16.91304448,85,515230,软件ETF
20250116,半导体,-0.67,1321.68,-50.63136,-4.9,-47.57742336,-3.05393664,86,512480,半导体ETF
