date,ts_code,industry_name,lead_stock,close,pct_change,company_num,pct_change_stock,close_price,net_buy_amount,net_sell_amount,net_inflow,etf_code,etf_name
20260514,881102.TI,养殖业,立华股份,3039.81,1.18,36,11.13,22.97,39.0,34.0,5.0,510150,消费ETF
20260514,881180.TI,石油加工贸易,岳阳兴长,4146.05,-1.08,27,6.48,17.08,27.0,26.0,1.0,510300,沪深300ETF
20260514,881155.TI,银行,重庆银行,1308.55,0.21,84,4.37,10.98,76.0,75.0,1.0,512800,银行ETF
20260514,881177.TI,互联网电商,行云科技,9868.36,-1.78,19,3.05,26.35,26.0,27.0,0.0,515230,软件ETF
20260514,881103.TI,农产品加工,海大集团,4029.03,-0.87,43,4.38,47.62,20.0,20.0,0.0,510150,消费ETF
20260514,881123.TI,其他电子,赛英电子,23302.7,-0.42,34,14.95,127.09,148.0,148.0,0.0,512480,半导体ETF
20260514,881148.TI,港口航运,招商南油,1282.65,-0.04,36,8.74,5.35,46.0,45.0,0.0,510300,沪深300ETF
20260514,881133.TI,饮料制造,威龙股份,5255.35,0.23,46,10.0,9.02,23.0,23.0,0.0,512690,白酒ETF
20260514,881174.TI,厨卫电器,老板电器,6730.42,-3.0,9,-1.41,18.24,2.0,3.0,-1.0,510150,消费ETF
20260514,881159.TI,贸易,云维股份,3097.05,-2.19,15,4.22,4.2,13.0,14.0,-1.0,510300,沪深300ETF
20260514,881132.TI,黑色家电,*ST高斯,4868.83,-0.89,9,1.4,17.39,12.0,14.0,-1.0,510150,消费ETF
20260514,881146.TI,燃气,贵州燃气,2030.2,0.2,27,10.04,7.67,15.0,17.0,-1.0,561380,电网设备ETF
20260514,881149.TI,公路铁路运输,江西长运,1374.55,-1.24,32,0.86,7.0,9.0,11.0,-2.0,510300,沪深300ETF
20260514,881182.TI,美容护理,科思股份,5480.97,-1.68,33,2.74,14.63,8.0,12.0,-3.0,510150,消费ETF
20260514,881178.TI,教育,*ST高科,4478.17,-1.63,16,5.04,12.08,4.0,8.0,-3.0,510300,沪深300ETF
20260514,881137.TI,造纸,华旺科技,2353.76,-1.59,24,1.84,9.98,7.0,11.0,-3.0,510300,沪深300ETF
20260514,881173.TI,小家电,利仁科技,4701.69,-1.33,25,10.0,55.0,6.0,9.0,-3.0,510150,消费ETF
20260514,881135.TI,纺织制造,华升股份,2578.71,-1.22,33,10.0,14.19,10.0,13.0,-3.0,510300,沪深300ETF
20260514,881108.TI,化学原料,滨化股份,3583.16,-1.01,59,4.14,5.28,51.0,54.0,-3.0,510300,沪深300ETF
20260514,881136.TI,服装家纺,戎美股份,3277.16,-0.98,75,6.23,17.04,23.0,27.0,-3.0,510300,沪深300ETF
20260514,881273.TI,白酒,皇台酒业,2258.03,1.67,20,7.09,14.81,63.0,68.0,-4.0,512690,白酒ETF
20260514,881143.TI,医药商业,一心堂,4942.24,-1.63,32,2.11,13.04,11.0,16.0,-5.0,159929,医药ETF
20260514,881152.TI,物流,*ST原尚,5697.92,-1.43,50,5.0,38.66,13.0,19.0,-5.0,510300,沪深300ETF
20260514,881179.TI,其他社会服务,中国汽研,22033.1,-2.2,82,5.59,17.94,22.0,29.0,-6.0,510300,沪深300ETF
20260514,881114.TI,金属新材料,中洲特材,16197.9,-3.0,34,0.8,17.69,38.0,46.0,-7.0,512400,有色ETF
20260514,881151.TI,机场航运,深圳机场,1973.82,-2.08,13,-0.15,6.86,7.0,15.0,-7.0,510300,沪深300ETF
