date,ts_code,industry_name,lead_stock,close_price,pct_change,industry_index,company_num,pct_change_stock,net_buy_amount,net_sell_amount,net_inflow,etf_code,etf_name
20260108,885743.TI,军民融合,航天南湖,45.0,3.35,1887.66,243,20.0,1156.0,984.0,171.0,512660,军工ETF
20260108,885700.TI,军工,邵阳液压,49.6,2.72,2614.44,595,20.01,2155.0,2004.0,151.0,512660,军工ETF
20260108,886078.TI,商业航天,天润科技,28.36,3.56,2468.68,413,22.29,2143.0,1997.0,146.0,159206,卫星ETF
20260108,885574.TI,卫星导航,乾照光电,31.19,3.41,5252.53,259,20.01,1377.0,1247.0,130.0,515880,通信ETF
20260108,885564.TI,无人机,航天宏图,38.11,1.99,3337.92,438,19.99,1540.0,1431.0,108.0,512660,军工ETF
20260108,885728.TI,人工智能,天润科技,28.36,1.68,1461.02,1030,22.29,2694.0,2588.0,105.0,159381,创业板人工智能ETF
20260108,885427.TI,高端装备,海兰信,22.5,1.97,3541.62,345,20.0,1030.0,941.0,88.0,159638,高端装备ETF
20260108,886019.TI,AIGC概念,汉得信息,22.67,1.91,2311.33,268,13.35,845.0,763.0,82.0,159381,创业板人工智能ETF
20260108,885566.TI,大飞机,新劲刚,26.47,3.43,4238.62,146,13.17,738.0,662.0,75.0,512660,军工ETF
20260108,885757.TI,区块链,*ST汇科,21.66,1.58,1729.64,262,14.06,768.0,696.0,72.0,515230,软件ETF
20260108,886067.TI,低空经济,航天南湖,45.0,2.05,2373.77,466,20.0,1586.0,1515.0,71.0,515030,新能源车ETF
20260108,885459.TI,网络安全,*ST汇科,21.66,2.16,6167.41,185,14.06,636.0,564.0,71.0,515230,软件ETF
20260108,885923.TI,鸿蒙概念,汉得信息,22.67,1.47,2105.09,260,13.35,566.0,500.0,66.0,515230,软件ETF
20260108,886013.TI,信创,*ST汇科,21.66,1.77,2291.25,301,14.06,761.0,699.0,61.0,515230,软件ETF
20260108,885362.TI,云计算,天润科技,28.36,2.21,4354.2,218,22.29,680.0,623.0,57.0,515230,软件ETF
20260108,886076.TI,军工信息化,海兰信,22.5,4.21,2178.97,107,20.0,576.0,523.0,53.0,512660,军工ETF
20260108,885934.TI,元宇宙,众诚科技,24.62,1.4,2053.08,180,12.32,619.0,567.0,51.0,159869,游戏ETF
20260108,886031.TI,ChatGPT概念,航天信息,12.56,1.75,2068.09,140,9.98,482.0,435.0,47.0,159381,创业板人工智能ETF
20260108,886041.TI,数据要素,天润科技,28.36,1.84,1379.96,387,22.29,811.0,767.0,44.0,515230,软件ETF
20260108,885884.TI,航空发动机,海特高新,15.04,3.21,3606.76,95,10.02,406.0,369.0,37.0,512660,军工ETF
20260108,885426.TI,海工装备,邵阳液压,49.6,2.49,3888.39,262,20.01,885.0,850.0,34.0,159638,高端装备ETF
20260108,885956.TI,智慧政务,众诚科技,24.62,1.69,1697.34,212,12.32,434.0,408.0,26.0,515230,软件ETF
20260108,885980.TI,华为鲲鹏,天润科技,28.36,1.88,1618.13,175,22.29,395.0,369.0,26.0,515230,软件ETF
20260108,885603.TI,网络游戏,东方明珠,12.11,1.06,1796.38,66,9.99,240.0,214.0,25.0,159869,游戏ETF
20260108,885878.TI,HJT电池,连城数控,30.4,2.38,2983.08,64,18.52,189.0,164.0,25.0,516290,光伏ETF
20260108,886008.TI,减速器,丰立智能,73.46,1.46,2165.75,129,19.99,317.0,294.0,23.0,562500,机器人ETF
20260108,886058.TI,华为昇腾,天润科技,28.36,2.21,1806.89,100,22.29,280.0,256.0,23.0,515230,软件ETF
20260108,886037.TI,6G概念,臻镭科技,152.0,2.45,2335.0,88,15.21,626.0,602.0,23.0,515880,通信ETF
20260108,886006.TI,钙钛矿电池,航天宏图,38.11,2.25,1083.31,69,19.99,248.0,231.0,17.0,516290,光伏ETF
20260108,885876.TI,网红经济,壹网壹创,33.0,1.13,1610.96,117,10.85,202.0,189.0,12.0,512980,传媒ETF
20260108,885947.TI,DRG/DIP,塞力医疗,26.66,2.69,1203.83,22,9.98,43.0,31.0,12.0,159929,医药ETF
20260108,885927.TI,CRO概念,谱尼测试,15.97,1.72,903.6,72,19.98,94.0,84.0,10.0,510660,创新药ETF
20260108,885733.TI,航运概念,融发核电,8.83,0.59,1772.67,84,9.96,116.0,106.0,9.0,510300,沪深300ETF
20260108,885874.TI,云游戏,东方明珠,12.11,1.41,1660.44,27,9.99,90.0,83.0,6.0,159869,游戏ETF
20260108,885425.TI,特高压,通光线缆,15.77,1.34,4581.21,117,10.43,315.0,310.0,4.0,561380,电网设备ETF
20260108,885866.TI,数字货币,航天信息,12.56,1.35,2483.98,92,9.98,168.0,163.0,4.0,515230,软件ETF
20260108,885819.TI,电力物联网,映翰通,56.72,1.3,2216.74,82,9.08,99.0,95.0,3.0,561380,电网设备ETF
20260108,885982.TI,华为欧拉,东土科技,22.9,1.41,1761.91,46,8.79,147.0,145.0,1.0,515230,软件ETF
20260108,886050.TI,算力租赁,海兰信,22.5,1.62,1433.64,156,20.0,402.0,400.0,1.0,515230,软件ETF
20260108,885780.TI,啤酒概念,好想你,11.96,0.26,1707.26,30,6.22,26.0,29.0,-2.0,512690,白酒ETF
20260108,885945.TI,汽车芯片,海特高新,15.04,0.69,1246.24,137,10.02,606.0,609.0,-2.0,512480,半导体ETF
20260108,886015.TI,创新药,必贝特,49.68,1.1,1387.86,269,20.0,256.0,258.0,-2.0,510660,创新药ETF
20260108,885951.TI,预制菜,千味央厨,44.92,0.69,1204.96,100,9.99,74.0,80.0,-5.0,510150,消费ETF
20260108,886000.TI,一体化压铸,长源东谷,31.05,1.01,1376.35,56,9.99,71.0,77.0,-5.0,515030,新能源车ETF
20260108,886051.TI,减肥药,必贝特,49.68,1.26,1468.98,59,20.0,82.0,87.0,-5.0,510660,创新药ETF
20260108,886004.TI,虚拟电厂,合康新能,7.0,1.23,1630.03,136,12.18,252.0,258.0,-6.0,561380,电网设备ETF
