date,open,close,high,low,volume
2023-01-03,13.55,14.01,14.08,13.41,13890.02
2023-01-04,14.01,14.11,14.21,13.89,11507.2
2023-01-05,14.23,14.15,14.23,13.88,12501.54
2023-01-06,14.22,14.16,14.36,14.11,12797.2
2023-01-09,14.22,14.44,14.59,14.22,17399.97
2023-01-10,14.38,14.44,14.51,14.26,14520.22
2023-01-11,14.27,14.15,14.44,14.11,11594.2
2023-01-12,14.23,14.35,14.42,14.07,9827.04
2023-01-13,14.42,14.29,14.49,14.19,11074.43
2023-01-16,14.36,14.51,14.54,14.24,10437.68
2023-01-17,14.51,14.75,14.75,14.34,16715.48
2023-01-18,14.69,14.68,14.7,14.55,14296.08
2023-01-19,14.56,14.68,14.75,14.4,12844.56
2023-01-20,14.76,14.74,14.8,14.58,12055.8
2023-01-30,14.91,14.84,15.01,14.76,18121.48
2023-01-31,14.79,14.96,14.96,14.66,14912.72
2023-02-01,14.96,15.21,15.23,14.89,21575.63
2023-02-02,15.26,15.18,15.34,15.12,15424.45
2023-02-03,15.18,15.3,15.34,15.03,17187.84
2023-02-06,15.29,15.44,15.71,15.11,31911.91
2023-02-07,15.45,15.67,15.75,15.36,21102.69
2023-02-08,15.77,15.6,15.77,15.54,13691.01
2023-02-09,15.62,15.92,15.92,15.56,20758.7
2023-02-10,15.9,15.93,16.06,15.77,17135.11
2023-02-13,15.8,18.0,18.05,15.77,120523.87
2023-02-14,17.81,17.17,17.81,16.97,91765.94
2023-02-15,17.15,17.42,17.68,16.99,68433.75
2023-02-16,17.37,16.39,17.48,16.26,64317.12
2023-02-17,16.41,16.07,16.47,16.05,30459.63
2023-02-20,16.06,16.2,16.24,15.85,31081.09
2023-02-21,16.2,16.28,16.4,16.11,25002.7
2023-02-22,16.27,16.2,16.29,16.05,16234.56
2023-02-23,16.21,16.06,16.3,16.01,13144.44
2023-02-24,16.1,16.12,16.27,15.98,14865.44
2023-02-27,16.14,16.1,16.35,16.06,22863.88
2023-02-28,16.1,16.09,16.24,15.9,16924.32
2023-03-01,16.1,16.09,16.12,15.95,21214.52
2023-03-02,16.08,15.84,16.18,15.79,23071.56
2023-03-03,15.78,15.68,15.98,15.62,17299.19
2023-03-06,15.67,15.89,16.0,15.67,16048.39
2023-03-07,15.84,15.45,15.98,15.42,14195.52
2023-03-08,15.45,15.62,15.69,15.43,10336.67
2023-03-09,15.62,15.8,15.82,15.58,9496.23
2023-03-10,15.75,15.55,15.85,15.52,10974.44
2023-03-13,15.55,15.63,15.8,15.5,9155.6
2023-03-14,15.62,15.34,15.68,15.05,14447.92
2023-03-15,15.43,15.66,15.83,15.15,15191.11
2023-03-16,15.61,15.25,15.86,15.15,15870.8
2023-03-17,15.39,15.27,15.43,15.1,12653.4
2023-03-20,15.36,15.63,15.74,15.19,18759.13
2023-03-21,15.59,15.88,15.9,15.47,15980.87
2023-03-22,15.94,16.23,16.29,15.92,25682.52
2023-03-23,16.16,16.24,16.35,16.09,14116.85
2023-03-24,16.3,16.46,16.55,16.21,17028.4
2023-03-27,16.45,16.37,16.67,16.26,17823.96
2023-03-28,16.4,16.26,16.46,16.21,15195.93
2023-03-29,16.26,16.1,16.39,16.04,12318.36
2023-03-30,16.11,16.25,16.38,16.05,14520.16
2023-03-31,16.22,16.14,16.4,16.01,12608.4
2023-04-03,16.12,16.53,16.56,16.11,26776.24
2023-04-04,16.58,16.43,16.64,16.36,20013.01
2023-04-06,16.4,16.23,16.42,16.15,13066.78
2023-04-07,16.27,16.21,16.38,16.0,13626.36
2023-04-10,16.25,16.01,16.26,15.95,14309.17
2023-04-11,16.01,15.91,16.09,15.8,10406.76
2023-04-12,16.11,16.01,16.11,15.83,9258.84
2023-04-13,16.09,15.95,16.39,15.88,18820.48
2023-04-14,15.94,15.68,16.05,15.61,17039.49
2023-04-17,15.68,15.89,16.05,15.66,18614.4
2023-04-18,15.86,15.5,15.86,15.39,14870.17
2023-04-19,15.51,15.56,15.66,15.34,11602.7
2023-04-20,15.48,15.44,15.56,15.19,13209.2
2023-04-21,15.44,14.81,15.51,14.77,17302.12
2023-04-24,14.74,14.98,15.01,14.74,13015.88
2023-04-25,14.91,14.02,14.91,13.81,34194.63
2023-04-26,13.94,14.25,14.38,13.81,19714.12
2023-04-27,14.18,14.41,14.64,14.18,14959.0
2023-04-28,14.42,14.73,14.77,14.42,12668.2
2023-05-04,14.76,14.61,14.88,14.47,15359.92
2023-05-05,14.61,14.36,14.67,14.27,11239.17
2023-05-08,14.61,14.56,14.77,14.42,17010.2
2023-05-09,14.51,14.2,14.51,14.17,15265.23
2023-05-10,14.21,14.85,15.04,14.08,27317.61
2023-05-11,14.81,15.05,15.09,14.71,19610.03
2023-05-12,15.04,14.91,15.19,14.91,13086.53
